gene	logFC_combined	AveExpr	t	P.Value	adj.P.Val	logFC_pt3	logFC_pt7	same_direction
PFDN4	-0.18809277016945491	-1.9366181721140627	-0.2763592824348026	0.7945536730169243	0.9997997501473126	-0.5041592608758847	0.09699794803548256	FALSE
GPR157	0.04651335708392016	6.774529517313857	0.2762792270459038	0.7946113753157152	0.9997997501473126	0.10404821576163847	-0.011606650776158745	FALSE
CRLF3	0.0691289077697429	5.316423444623821	0.2762421424735284	0.7946381056426746	0.9997997501473126	0.40993651758508776	-0.2570611276666561	FALSE
RETSAT	0.06227106641818095	6.608799129979324	0.27623415048621675	0.7946438662600905	0.9997997501473126	0.38210130823419775	-0.25797098238695515	FALSE
PDXDC1	0.05934702030800386	5.797343390645001	0.27621399744716946	0.7946583926207959	0.9997997501473126	0.31173378858161804	-0.18289212366104568	FALSE
PDS5B	-0.06290868498357258	4.816722622196628	-0.2761169467848437	0.7947283483413963	0.9997997501473126	-0.21515241074833913	0.10713101230393729	FALSE
ABCB7	-0.05162243037546097	5.690630986258834	-0.275959237672951	0.7948420324826933	0.9997997501473126	-0.13014123275880607	0.030191846364434838	FALSE
LYAR	-0.09268551497390985	4.013203447612241	-0.2759264400966612	0.7948656752649108	0.9997997501473126	0.3648674364665663	-0.5438207787285454	FALSE
CGRRF1	0.09587533220810421	2.903854718875002	0.27554202131281597	0.7951428103326251	0.9997997501473126	-0.12397559373297984	0.3060153619369168	FALSE
APRT	-0.0674039584516898	7.143289863534466	-0.2755115403940803	0.7951647861382464	0.9997997501473126	0.31250610514729615	-0.45281799700588543	FALSE
ANKDD1B	-0.12372351573949077	3.258759696831796	-0.27544769076072284	0.7952108204809958	0.9997997501473126	-0.9007969218227494	0.4941589679287448	FALSE
LYNX1	0.07044939406926527	4.872144593281852	0.27542955481430287	0.7952238963229119	0.9997997501473126	0.321154441502979	-0.30026391756990645	FALSE
APEX2	0.05915720011783623	5.141199554116717	0.27538971938941026	0.7952526175546514	0.9997997501473126	0.2258211110768631	-0.09663478833126504	FALSE
RAPGEF5	-0.05159491288709629	6.798491845601229	-0.2753082159932541	0.7953113824598277	0.9997997501473126	0.12917447274413085	-0.23691404668636284	FALSE
TRIM15	-0.3125274095825421	-0.8394972060715692	-0.2752456576071499	0.795356488866265	0.9997997501473126	2.412130032734883	-1.896929760825891	FALSE
KL	0.16625119309458067	1.080915217285293	0.27517351779336985	0.7954085049190109	0.9997997501473126	-0.6766264568806508	1.010958116968791	FALSE
MICB	-0.1452960473579208	0.1362857717967576	-0.27517077060903317	0.7954104857871183	0.9997997501473126	0.08386737205740584	-0.3717161057016671	FALSE
IQGAP1	-0.04819273517110755	6.324174631475244	-0.2751368312182792	0.7954349580673233	0.9997997501473126	-0.13238767435005894	0.037106597966934274	FALSE
SAR1A	0.10635882175498795	2.2555120133923756	0.2751308417350411	0.7954392768626009	0.9997997501473126	0.27863085427465606	-0.05809705185341807	FALSE
PAFAH1B1	-0.05072785692314681	8.330480670509454	-0.2750563964978493	0.7954929572895513	0.9997997501473126	-0.2183151209240375	0.11703581164784005	FALSE
AP1G2	0.0469112341422699	8.076121145664407	0.2749122685243918	0.7955968877914199	0.9997997501473126	0.1330104537888861	-0.03866755198079641	FALSE
PSCA	-0.11337514974850917	2.0728494376838276	-0.2748859013696916	0.7956159016498161	0.9997997501473126	-0.37631177892240864	0.21958623295336333	FALSE
DHX16	-0.048148420376785316	6.4361735549307	-0.27471992802919	0.7957355919979178	0.9997997501473126	0.04856459445003036	-0.1468052046883832	FALSE
MEGF8	0.05229292509866977	5.497206857574218	0.27468585732436773	0.7957601626266205	0.9997997501473126	0.10800061406011263	-7.452074277898291e-4	FALSE
IQCK	0.056524235098865706	5.0628198078712225	0.27466898540864265	0.7957723301784163	0.9997997501473126	0.1125364541996321	-0.0053377349919028205	FALSE
NAB1	0.08480782070096873	7.434840335698001	0.2746413056917558	0.7957922921597954	0.9997997501473126	-0.4659762509846752	0.6406230399768464	FALSE
TET3	-0.04621675254431849	6.975640107991337	-0.2745103664482203	0.7958867250337295	0.9997997501473126	0.020471831130539186	-0.11383707306926816	FALSE
SNRK	-0.04744361670420387	6.297862755547948	-0.27437175561784305	0.7959866950750587	0.9997997501473126	-0.10075091022258853	0.009055123956547284	FALSE
TRNP1	0.08168547553342437	4.112932425000635	0.27434067412629454	0.7960091125514368	0.9997997501473126	-0.23997270315643515	0.43633648948236425	FALSE
DDIAS	0.15548763124769172	1.8183767340514385	0.27427139691180485	0.7960590794596444	0.9997997501473126	1.0420241259575598	-0.6331740508928223	FALSE
TAF9	-0.07235180864254465	3.973060383647219	-0.27420237120946606	0.7961088660979474	0.9997997501473126	0.012910261219705177	-0.1557900463476285	FALSE
CCNE1	-0.16049403968448778	2.101248728333775	-0.27401364993996147	0.7962449921584073	0.9997997501473126	0.8160924256110387	-1.0422319114923233	FALSE
MTREX	-0.05244947290966755	5.574967675056631	-0.27393359121929345	0.7963027416696691	0.9997997501473126	-0.14023681891297812	0.04535086662485899	FALSE
ERAL1	0.059534864524189345	5.819133977775058	0.2738392065396821	0.7963708270167049	0.9997997501473126	0.31896488932544287	-0.199033801596336	FALSE
IPO4	-0.10056399359505502	3.8968466182682135	-0.2738391518135395	0.7963708664945777	0.9997997501473126	0.40335982310715135	-0.6742507955425472	FALSE
FHIP2B	0.04551817238918864	7.9557814203840325	0.27379440478101913	0.7964031459611909	0.9997997501473126	0.0840648096361134	0.006566633763917196	TRUE
ZCWPW1	-0.08341941710330858	3.5048652774888636	-0.27374351514403905	0.7964398571377118	0.9997997501473126	-0.2782464181714688	0.10088661626824491	FALSE
TYW3	-0.05347384229729766	5.300532999008295	-0.2737290077345114	0.7964503227224293	0.9997997501473126	-0.038544502682483106	-0.0710642155006802	TRUE
IER2	-0.07808226015074128	8.239815250563739	-0.2737250296598021	0.7964531924976648	0.9997997501473126	0.4120360662884899	-0.5696196497039274	FALSE
TCP11L1	0.06398705775845069	6.170770930651481	0.2736347813472125	0.7965182984619769	0.9997997501473126	-0.2670334941565864	0.40105626707129627	FALSE
KCTD9	-0.051015631581260615	5.5818111927691625	-0.2735980775971397	0.7965447774387976	0.9997997501473126	-0.06841631110569057	-0.03307936968610026	TRUE
MDGA1	-0.08839941053510167	5.188313679961558	-0.2735406074825447	0.7965862384179319	0.9997997501473126	-0.6789004643963201	0.4010366210397631	FALSE
KNOP1	-0.053020698155664514	5.338187482885417	-0.2731581018361545	0.7968622115285229	0.9997997501473126	-0.03548647019276707	-0.07376730186709501	TRUE
ZDHHC5	-0.05765905767786181	6.127211471782724	-0.27311210091269195	0.7968954029657624	0.9997997501473126	0.1925436810865957	-0.31606188065080865	FALSE
EDDM13	-0.07814079527189582	4.827125434499395	-0.27308316036742447	0.7969162849404345	0.9997997501473126	-0.5188141734321832	0.2870387072558085	FALSE
CCDC66	-0.052722090237766805	5.3620577208660025	-0.27305137209932995	0.7969392219108702	0.9997997501473126	-0.049990891373004054	-0.0558755725162392	TRUE
LEFTY1	0.1911197461450144	-0.7657124954387184	0.27293402191538335	0.7970238985475719	0.9997997501473126	-0.6069626482607107	1.058523800220847	FALSE
FIBP	0.05765231592781197	5.296902033865399	0.27290224834210114	0.7970468260378435	0.9997997501473126	0.2291711942561836	-0.11312530458506043	FALSE
DNER	0.13551909196020268	3.6133910993301317	0.27285254143893034	0.7970826945179998	0.9997997501473126	0.9599810900412815	-0.7694108913827225	FALSE
RPIA	0.055818477245265584	5.490919287713384	0.27262953397230955	0.7972436238127949	0.9997997501473126	0.2241745938180415	-0.11146112500460958	FALSE
SNF8	0.048645659621222054	6.49584605434012	0.27242463370571	0.7973914967523896	0.9997997501473126	0.17322130243942535	-0.0787811043763691	FALSE
PTN	0.10292251052535024	2.337911543551162	0.27227049055813973	0.7975027457129852	0.9997997501473126	0.46811998156566514	-0.08875246227626521	FALSE
PTGS2	0.08747017468365259	3.0747867089818595	0.2722698573655736	0.7975032027154672	0.9997997501473126	0.12779184492358064	0.04911634696514877	TRUE
FSD1L	-0.07789640815490285	3.66162637936371	-0.2722458718319389	0.7975205141830771	0.9997997501473126	-0.222414705046043	0.033498764700563566	FALSE
EPHA6	0.1648348918013773	-0.44034613498460806	0.27223196723804294	0.7975305498330783	0.9997997501473126	-0.3305492126257171	0.6779197980058771	FALSE
CASD1	0.066835918020582	5.090235000781269	0.2721622819929881	0.7975808458940803	0.9997997501473126	-0.22438693560750878	0.3620478604845312	FALSE
RNF20	0.04800994751100202	6.0707215708640945	0.2721243589327468	0.7976082177452859	0.9997997501473126	0.10282580762939109	-0.010820076499613585	FALSE
